axis,axis_value,estimator,trial,sign_error
sigma_obs,0.05,x_pf,58,0.17
sigma_obs,0.05,x_pf,59,0.46
sigma_obs,0.05,x_pf,60,0.53
sigma_obs,0.05,x_pf,61,0.57
sigma_obs,0.05,x_pf,62,0.12
sigma_obs,0.05,x_pf,63,0.5
sigma_obs,0.05,x_pf,64,0.59
sigma_obs,0.05,x_pf,65,0.5
sigma_obs,0.05,x_pf,66,0.8
sigma_obs,0.05,x_pf,67,0.68
sigma_obs,0.05,x_pf,68,0.59
sigma_obs,0.05,x_pf,69,0.52
sigma_obs,0.05,x_pf,70,0.39
sigma_obs,0.05,x_pf,71,0.39
sigma_obs,0.05,x_pf,72,0.54
sigma_obs,0.05,x_pf,73,0.75
sigma_obs,0.05,x_pf,74,0.3
sigma_obs,0.05,x_pf,75,0.93
sigma_obs,0.05,x_pf,76,0.34
sigma_obs,0.05,x_pf,77,0.45
sigma_obs,0.05,x_pf,78,0.75
sigma_obs,0.05,x_pf,79,0.61
sigma_obs,0.05,x_pf,80,0.35
sigma_obs,0.05,x_pf,81,0.71
sigma_obs,0.05,x_pf,82,0.4
sigma_obs,0.05,x_pf,83,0.58
sigma_obs,0.05,x_pf,84,0.77
sigma_obs,0.05,x_pf,85,0.78
sigma_obs,0.05,x_pf,86,0.62
sigma_obs,0.05,x_pf,87,0.52
sigma_obs,0.05,x_pf,88,0.78
sigma_obs,0.05,x_pf,89,0.37
sigma_obs,0.05,x_pf,90,0.72
sigma_obs,0.05,x_pf,91,0.52
sigma_obs,0.05,x_pf,92,0.28
sigma_obs,0.05,x_pf,93,0.37
sigma_obs,0.05,x_pf,94,0.21
sigma_obs,0.05,x_pf,95,0.57
sigma_obs,0.05,x_pf,96,0.39
sigma_obs,0.05,x_pf,97,0.71
sigma_obs,0.05,x_pf,98,0.29
sigma_obs,0.05,x_pf,99,0.29
sigma_obs,0.05,oracle_x,0,0.47
sigma_obs,0.05,oracle_x,1,0.49
sigma_obs,0.05,oracle_x,2,0.49
sigma_obs,0.05,oracle_x,3,0.5
sigma_obs,0.05,oracle_x,4,0.47
sigma_obs,0.05,oracle_x,5,0.32
sigma_obs,0.05,oracle_x,6,0.49
sigma_obs,0.05,oracle_x,7,0.52
sigma_obs,0.05,oracle_x,8,0.52
sigma_obs,0.05,oracle_x,9,0.43
sigma_obs,0.05,oracle_x,10,0.55
sigma_obs,0.05,oracle_x,11,0.55
sigma_obs,0.05,oracle_x,12,0.39
sigma_obs,0.05,oracle_x,13,0.5
sigma_obs,0.05,oracle_x,14,0.43
sigma_obs,0.05,oracle_x,15,0.53
sigma_obs,0.05,oracle_x,16,0.54
sigma_obs,0.05,oracle_x,17,0.5
sigma_obs,0.05,oracle_x,18,0.45
sigma_obs,0.05,oracle_x,19,0.45
sigma_obs,0.05,oracle_x,20,0.48
sigma_obs,0.05,oracle_x,21,0.56
sigma_obs,0.05,oracle_x,22,0.58
sigma_obs,0.05,oracle_x,23,0.48
sigma_obs,0.05,oracle_x,24,0.49
sigma_obs,0.05,oracle_x,25,0.5
sigma_obs,0.05,oracle_x,26,0.52
sigma_obs,0.05,oracle_x,27,0.51
sigma_obs,0.05,oracle_x,28,0.5
sigma_obs,0.05,oracle_x,29,0.44
sigma_obs,0.05,oracle_x,30,0.49
sigma_obs,0.05,oracle_x,31,0.53
sigma_obs,0.05,oracle_x,32,0.44
sigma_obs,0.05,oracle_x,33,0.57
sigma_obs,0.05,oracle_x,34,0.52
sigma_obs,0.05,oracle_x,35,0.5
sigma_obs,0.05,oracle_x,36,0.5
sigma_obs,0.05,oracle_x,37,0.44
sigma_obs,0.05,oracle_x,38,0.5
sigma_obs,0.05,oracle_x,39,0.5
sigma_obs,0.05,oracle_x,40,0.52
sigma_obs,0.05,oracle_x,41,0.59
sigma_obs,0.05,oracle_x,42,0.51
sigma_obs,0.05,oracle_x,43,0.49
sigma_obs,0.05,oracle_x,44,0.57
sigma_obs,0.05,oracle_x,45,0.43
sigma_obs,0.05,oracle_x,46,0.59
sigma_obs,0.05,oracle_x,47,0.49
sigma_obs,0.05,oracle_x,48,0.61
sigma_obs,0.05,oracle_x,49,0.56
sigma_obs,0.05,oracle_x,50,0.48
sigma_obs,0.05,oracle_x,51,0.49
sigma_obs,0.05,oracle_x,52,0.51
