regime,theta_1,theta_2,c12,c21,trial,sign_error_q1,sign_error_q2
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,46,0.28,0.28
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,47,0.44,0.44
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,48,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,49,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,50,1.0,1.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,51,0.38666666666666666,0.38666666666666666
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,52,0.013333333333333334,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,53,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,54,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,55,0.54,0.54
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,56,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,57,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,58,0.04666666666666667,0.04666666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,59,0.0,0.0
